Time [s],Value,Parity Error,Framing Error
2.1678450000,0xFD,,
2.1692800000,0x1E,,
2.1708150000,0x00,,
2.1724550000,0x0C,,
2.1738900000,0x01,,
2.1756200000,0x10,,
2.1770650000,0x0E,,
2.1786950000,0x1F,,
2.1801300000,0x00,,
2.5402250000,0xB0,,
2.5416450000,0x1B,,
2.5516050000,0x0F,,
2.5529400000,0x0E,,
2.5543750000,0x1E,,
2.5559100000,0x00,,
2.5682800000,0x53,,
2.5698150000,0xB0,,
2.5712600000,0x1B,,
2.5725950000,0x00,,
2.5742300000,0xFD,,
2.5754650000,0x1E,,
2.5769100000,0x00,,
2.5783450000,0x0C,,
2.5797800000,0x01,,
2.5812200000,0x0E,,
2.5825600000,0x0E,,
2.5839950000,0x1D,,
2.5854300000,0x00,,
2.6001650000,0x53,,
2.6016100000,0xB0,,
2.6029450000,0x1B,,
2.6043800000,0x00,,
2.6058150000,0xFD,,
2.6071600000,0x1E,,
2.6085950000,0x00,,
2.6100300000,0x0C,,
2.6114750000,0x01,,
2.6128150000,0x0D,,
2.6142500000,0x0E,,
2.6156850000,0x1C,,
2.6171250000,0x00,,
2.6275250000,0x53,,
2.6290600000,0xB0,,
2.6303950000,0x1B,,
2.6318400000,0x00,,
2.6333750000,0xFD,,
2.6348100000,0x1E,,
2.6362500000,0x00,,
2.6376900000,0x0C,,
2.6391250000,0x01,,
2.6405600000,0x0C,,
2.6420050000,0x0E,,
2.6432400000,0x1B,,
2.6447750000,0x00,,
2.6599000000,0x53,,
2.6612450000,0xB0,,
2.6626800000,0x1B,,
2.6641200000,0x00,,
2.6655550000,0xFD,,
2.6670950000,0x1E,,
2.6685300000,0x00,,
2.6698650000,0x0C,,
2.6712100000,0x01,,
2.6726500000,0x0B,,
2.6740850000,0x0E,,
2.6756150000,0x1A,,
2.6769600000,0x00,,
2.6973100000,0x53,,
2.6988400000,0xB0,,
2.7002750000,0x1B,,
2.7016250000,0x00,,
2.7030600000,0xFD,,
2.7044950000,0x1E,,
2.7060300000,0x00,,
2.7074700000,0x0C,,
2.7087100000,0x01,,
2.7101450000,0x0A,,
2.7117850000,0x0E,,
2.7131200000,0x19,,
2.7145550000,0x00,,
3.0770500000,0x00,,
3.0784850000,0xFD,,
3.0798250000,0x1E,,
3.0813600000,0x00,,
3.0828000000,0x0C,,
3.0843350000,0x01,,
3.0857700000,0x09,,
3.0873100000,0x0E,,
3.0887450000,0x18,,
3.0902800000,0x00,,
3.1005800000,0x53,,
3.1021250000,0xB0,,
3.1034600000,0x1B,,
3.1048950000,0x00,,
3.1063350000,0xFD,,
3.1079700000,0x1E,,
3.1094050000,0x00,,
3.1109400000,0x0C,,
3.1122850000,0x01,,
3.1138200000,0x08,,
3.1153500000,0x0E,,
3.1169900000,0x17,,
3.1184250000,0x00,,
3.1264650000,0x53,,
3.1275100000,0xB0,,
3.1287400000,0x1B,,
3.1301750000,0x00,,
3.1317200000,0xFD,,
3.1332550000,0x1E,,
3.1347850000,0x00,,
3.1362250000,0x0C,,
3.1377650000,0x01,,
3.1393950000,0x07,,
3.1408300000,0x0E,,
3.1422750000,0x16,,
3.1438100000,0x00,,
3.1543050000,0x53,,
3.1556400000,0xB0,,
3.1571850000,0x1B,,
3.1587200000,0x00,,
3.1602500000,0xFD,,
3.1616950000,0x1E,,
