Time [s],Value,Parity Error,Framing Error
2.8568500000,0x1B,,
2.8584950000,0x00,,
2.8599350000,0x0C,,
2.8612700000,0x01,,
2.8628150000,0x00,,
2.8643550000,0x09,,
2.8659000000,0x0A,,
2.8672350000,0x00,,
2.8729950000,0x53,,
2.8745350000,0xC2,,
2.8760800000,0x1C,,
2.8776200000,0x00,,
2.8790600000,0x9D,,
2.8805000000,0x1B,,
2.8819400000,0x00,,
2.8832800000,0x0C,,
2.8847200000,0x01,,
2.8862600000,0x00,,
2.8875950000,0x0A,,
2.8890350000,0x0B,,
2.8904750000,0x00,,
2.9251300000,0x53,,
2.9264700000,0xC2,,
2.9279100000,0x1C,,
2.9294500000,0x00,,
2.9309950000,0x9D,,
2.9325350000,0x1B,,
2.9339750000,0x00,,
2.9354150000,0x0C,,
2.9367550000,0x01,,
2.9381950000,0x00,,
2.9396300000,0x0B,,
2.9411750000,0x0C,,
2.9427200000,0x00,,
2.9547550000,0x53,,
2.9560900000,0xC2,,
2.9576350000,0x1C,,
2.9591750000,0x00,,
2.9606150000,0x9D,,
2.9621600000,0x1B,,
2.9637050000,0x00,,
2.9651450000,0x0C,,
2.9664800000,0x01,,
2.9679200000,0x00,,
2.9693600000,0x0C,,
2.9708000000,0x0D,,
2.9721400000,0x00,,
2.9822150000,0x53,,
2.9835550000,0xC2,,
2.9850950000,0x1C,,
2.9864350000,0x00,,
2.9878750000,0x9D,,
2.9893150000,0x1B,,
2.9907550000,0x00,,
2.9920900000,0x0C,,
2.9936350000,0x01,,
2.9950750000,0x00,,
2.9965150000,0x0D,,
2.9979550000,0x0E,,
2.9993900000,0x00,,
3.0177000000,0x53,,
3.0192400000,0xC2,,
3.0206800000,0x1C,,
3.0221200000,0x00,,
3.0235600000,0x9D,,
3.0250000000,0x1B,,
3.0264400000,0x00,,
3.0277750000,0x0C,,
3.0293200000,0x01,,
3.0307600000,0x00,,
3.0323000000,0x0C,,
3.0337400000,0x0D,,
3.0351800000,0x00,,
3.0598600000,0x53,,
3.0614000000,0xC2,,
3.0628400000,0x1C,,
3.0643850000,0x00,,
3.0658250000,0x9D,,
3.0672650000,0x1B,,
3.0689100000,0x00,,
3.0703450000,0x0C,,
3.0718900000,0x01,,
3.0734300000,0x00,,
3.0749750000,0x0D,,
3.0764150000,0x0E,,
3.0779550000,0x00,,
3.0910150000,0x53,,
3.0924550000,0xC2,,
3.0938950000,0x1C,,
3.0952300000,0x00,,
3.0966700000,0x9D,,
3.0982150000,0x1B,,
3.0996550000,0x00,,
3.1010950000,0x0C,,
3.1026350000,0x01,,
3.1040750000,0x00,,
3.1055150000,0x0E,,
3.1069550000,0x0F,,
3.1083950000,0x00,,
3.1213550000,0x53,,
3.1227950000,0xC2,,
3.1243350000,0x1C,,
3.1257750000,0x00,,
3.1272150000,0x9D,,
3.1287550000,0x1B,,
3.1303000000,0x00,,
3.1318400000,0x0C,,
3.1332800000,0x01,,
3.1348250000,0x00,,
3.1362650000,0x0F,,
3.1377050000,0x10,,
3.1391450000,0x00,,
3.1449000000,0x53,,
3.1463400000,0xC2,,
3.1477800000,0x1C,,
3.1493250000,0x00,,
3.1506600000,0x9D,,
3.1521000000,0x1B,,
3.1535400000,0x00,,
3.1550850000,0x0C,,
3.1565200000,0x01,,
3.1579600000,0x00,,
3.1594000000,0x10,,
3.1609450000,0x11,,
3.1622800000,0x00,,
3.1706150000,0x53,,
3.1721550000,0xC2,,
3.1736950000,0x1C,,
3.1752400000,0x00,,
3.1767800000,0x9D,,
3.1783250000,0x1B,,
3.1798650000,0x00,,
3.1814100000,0x0C,,
3.1829500000,0x01,,
3.1843900000,0x00,,
3.1859350000,0x0F,,
3.1874750000,0x10,,
3.1889150000,0x00,,
3.2101050000,0x53,,
3.2116450000,0xC2,,
3.2131900000,0x1C,,
3.2146300000,0x00,,
3.2161700000,0x9D,,
3.2177150000,0x1B,,
3.2192550000,0x00,,
3.2208000000,0x0C,,
3.2223400000,0x01,,
3.2237800000,0x00,,
3.2253250000,0x0E,,
3.2268700000,0x0F,,
3.2283100000,0x00,,
3.2518600000,0x53,,
3.2533000000,0xC2,,
3.2547400000,0x1C,,
3.2562850000,0x00,,
3.2576200000,0x9D,,
3.2591650000,0x1B,,
3.2607050000,0x00,,
3.2622500000,0x0C,,
3.2636900000,0x01,,
3.2651300000,0x00,,
3.2665700000,0x0F,,
3.2680100000,0x10,,
3.2694500000,0x00,,
3.2973150000,0x53,,
3.2987550000,0xC2,,
3.3001950000,0x1C,,
3.3016350000,0x00,,
3.3030750000,0x9D,,
3.3046150000,0x1B,,
3.3060550000,0x00,,
3.3074950000,0x0C,,
3.3088300000,0x01,,
3.3102700000,0x00,,
3.3118150000,0x0E,,
3.3132550000,0x0F,,
3.3147950000,0x00,,
3.3326850000,0x53,,
3.3341250000,0xC2,,
3.3356700000,0x1C,,
3.3372100000,0x00,,
3.3385450000,0x9D,,
3.3400900000,0x1B,,
3.3417350000,0x00,,
3.3431750000,0x0C,,
3.3447150000,0x01,,
3.3460550000,0x00,,
3.3475950000,0x0F,,
3.3490350000,0x10,,
3.3503700000,0x00,,
3.3605500000,0x53,,
3.3619900000,0xC2,,
3.3635300000,0x1C,,
3.3649700000,0x00,,
3.3664100000,0x9D,,
3.3678500000,0x1B,,
3.3692900000,0x00,,
3.3707300000,0x0C,,
3.3721700000,0x01,,
3.3737100000,0x00,,
3.3751500000,0x10,,
3.3765900000,0x11,,
3.3780300000,0x00,,
3.4025100000,0x53,,
3.4038450000,0xC2,,
3.4052850000,0x1C,,
3.4068250000,0x00,,
3.4081650000,0x9D,,
3.4096050000,0x1B,,
3.4110400000,0x00,,
3.4124800000,0x0C,,
3.4139200000,0x01,,
3.4153600000,0x00,,
3.4168000000,0x0F,,
3.4181350000,0x10,,
3.4195750000,0x00,,
3.4462100000,0x53,,
3.4476500000,0xC2,,
3.4491950000,0x1C,,
3.4507350000,0x00,,
3.4522800000,0x9D,,
3.4537200000,0x1B,,
3.4552600000,0x00,,
3.4568050000,0x0C,,
3.4583450000,0x01,,
3.4597850000,0x00,,
3.4613300000,0x10,,
3.4628700000,0x11,,
3.4644150000,0x00,,
3.4753150000,0x53,,
3.4768550000,0xC2,,
3.4782950000,0x1C,,
3.4797350000,0x00,,
3.4811750000,0x9D,,
3.4826150000,0x1B,,
3.4841600000,0x00,,
3.4856000000,0x0C,,
3.4871400000,0x01,,
3.4886850000,0x00,,
3.4902300000,0x11,,
3.4916650000,0x12,,
3.4932100000,0x00,,
3.5171750000,0x53,,
3.5187150000,0xC2,,
3.5201550000,0x1C,,
3.5217000000,0x00,,
3.5230350000,0x9D,,
3.5245800000,0x1B,,
3.5260200000,0x00,,
3.5274550000,0x0C,,
3.5288950000,0x01,,
3.5303350000,0x00,,
3.5317750000,0x12,,
3.5332150000,0x13,,
3.5346550000,0x00,,
3.5369150000,0x53,,
3.5384600000,0xC2,,
3.5400000000,0x1C,,
3.5415450000,0x00,,
3.5430850000,0x9D,,
3.5446250000,0x1B,,
3.5461700000,0x00,,
3.5476100000,0x0C,,
3.5492550000,0x01,,
3.5506950000,0x00,,
3.5523350000,0x11,,
3.5538800000,0x12,,
3.5554200000,0x00,,
3.5786600000,0x53,,
3.5801000000,0xC2,,
3.5816400000,0x1C,,
3.5831800000,0x00,,
3.5847250000,0x9D,,
3.5862650000,0x1B,,
3.5878100000,0x00,,
3.5893500000,0x0C,,
3.5908950000,0x01,,
3.5924350000,0x00,,
3.5938750000,0x12,,
3.5954200000,0x13,,
3.5970650000,0x00,,
3.6283200000,0x53,,
3.6297600000,0xC2,,
3.6311950000,0x1C,,
3.6326350000,0x00,,
3.6340750000,0x9D,,
3.6356200000,0x1B,,
3.6371600000,0x00,,
3.6387000000,0x0C,,
3.6402450000,0x01,,
3.6416850000,0x00,,
3.6432250000,0x13,,
3.6448700000,0x14,,
3.6463100000,0x00,,
3.6560750000,0x53,,
3.6575150000,0xC2,,
3.6588500000,0x1C,,
3.6603950000,0x00,,
3.6618350000,0x9D,,
3.6633750000,0x1B,,
3.6648150000,0x00,,
3.6664600000,0x0C,,
3.6680000000,0x01,,
3.6694400000,0x00,,
3.6708800000,0x12,,
3.6724250000,0x13,,
3.6738650000,0x00,,
3.6799300000,0x53,,
3.6814700000,0xC2,,
3.6830100000,0x1C,,
3.6845550000,0x00,,
3.6860950000,0x9D,,
3.6875350000,0x1B,,
3.6888700000,0x00,,
3.6903100000,0x0C,,
3.6918550000,0x01,,
3.6933950000,0x00,,
3.6949350000,0x11,,
3.6964800000,0x12,,
3.6980200000,0x00,,
3.7025450000,0x53,,
3.7040850000,0xC2,,
3.7056300000,0x1C,,
3.7070700000,0x00,,
3.7085100000,0x9D,,
3.7100500000,0x1B,,
3.7114900000,0x00,,
3.7130300000,0x0C,,
3.7145750000,0x01,,
3.7161150000,0x00,,
3.7176600000,0x10,,
3.7192000000,0x11,,
3.7207400000,0x00,,
3.7409950000,0x53,,
3.7425400000,0xC2,,
3.7440800000,0x1C,,
3.7455200000,0x00,,
3.7470650000,0x9D,,
3.7486050000,0x1B,,
3.7500450000,0x00,,
3.7516900000,0x0C,,
3.7531300000,0x01,,
3.7545700000,0x00,,
3.7561100000,0x11,,
3.7576550000,0x12,,
3.7591950000,0x00,,
3.7690650000,0x53,,
3.7705050000,0xC2,,
3.7720500000,0x1C,,
3.7734900000,0x00,,
3.7749250000,0x9D,,
3.7763650000,0x1B,,
3.7778050000,0x00,,
3.7792450000,0x0C,,
3.7805800000,0x01,,
3.7820200000,0x00,,
3.7834600000,0x12,,
3.7850000000,0x13,,
3.7863400000,0x00,,
3.7899350000,0x53,,
3.7913750000,0xC2,,
3.7928150000,0x1C,,
3.7942550000,0x00,,
3.7956950000,0x9D,,
3.7971350000,0x1B,,
3.7985700000,0x00,,
3.8000100000,0x0C,,
3.8014500000,0x01,,
3.8028900000,0x00,,
3.8042250000,0x13,,
3.8057650000,0x14,,
